id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
40139858,Stylish Private Apartment At The Canals,70691134,Jonathan,,Westerpark,52.37532,4.87341,Entire home/apt,310,4,8,2022-04-25,0.26,1,1,4,0363 3D68 6892 3967 5181
40146465,Spacious apartment with garden,7729232,Dunya,,De Baarsjes - Oud-West,52.37013,4.84815,Entire home/apt,340,2,8,2022-05-29,0.27,1,0,4,0363 F337 C758 9142 0BB4
40150321,Amazing canal-view house in city-center!,91816760,Tanvi,,Centrum-West,52.38117,4.88052,Entire home/apt,100,3,1,2020-02-17,0.04,2,0,0,0363 6FDD AA09 5B2E 3DAF
40171341,Private and renovated apartment Amsterdam Centre!,38427944,Ward,,Westerpark,52.38001,4.87322,Entire home/apt,112,3,6,2020-08-23,0.20,1,0,0,0363 E527 2C0E 4B00 34C4
40173191,Vintage designed apartment in Amsterdam-West,146162511,Jan,,Bos en Lommer,52.3793,4.85569,Entire home/apt,100,2,3,2020-03-15,0.10,1,0,0,0363 F322 3F63 5A10 E62A
40191258,Skyscapes. Two rooms in Bohemian ‘De Pijp',39833982,Reinier,,De Pijp - Rivierenbuurt,52.35577,4.90458,Private room,155,3,76,2022-06-03,2.48,1,72,46,0363 9DFA AA81 5376 B885
40196568,Kamer aan de mooiste gracht van Amsterdam,302940677,Tessa,,Centrum-West,52.3742,4.8793,Private room,225,2,51,2022-05-05,1.74,3,276,38,0363 E3EE A79B 1CB5 E3E3
40222708,"Studio, in Amsterdam city villa, close to centre",310649999,Erwin,,De Aker - Nieuw Sloten,52.34293,4.82206,Private room,125,3,43,2022-06-03,1.84,2,148,36,0363 CEB0 177A F1BD 666C
40225175,BB 1971 Hazenstraat (shared bathroom),307825526,Lot,,Centrum-West,52.37103,4.87953,Private room,106,1,53,2022-04-21,1.75,1,180,32,0363 6876 27B5 F4AD 09D8
40231867,"Private Artist BwithoutB light, spacious & clean!",310716632,Lisa,,De Baarsjes - Oud-West,52.366,4.87556,Private room,182,3,29,2022-05-21,0.98,1,260,11,0363bba9f14ee990ec46
40245488,Romantic studio on houseboat in super location!!,23609488,Patricia,,Centrum-West,52.38165,4.88793,Private room,164,2,8,2022-06-01,0.28,2,36,4,0363 A916 6EB6 5754 29AA
40247038,A room in the Rembrandtpark,50300599,Evgeniia,,Slotervaart,52.36273,4.8435,Private room,80,1,2,2019-12-15,0.06,2,0,0,0363530D2830B8E96DC2
40248757,Beautiful House with Garden Close to Centre,101498497,Agnesa,,Oud-Oost,52.3521,4.91165,Entire home/apt,340,2,1,2020-01-03,0.03,2,0,0,0363 ADA5 CA1C C715 7804
40249718,Iconic Amsterdam Apartment in the Jordaan,310865765,Ted,,Centrum-West,52.37045,4.877,Entire home/apt,360,3,1,2020-01-02,0.03,1,0,0,0363 2308 7A32 F143 3EFE
40253380,Quiet and spaceous apptmnt in Noord- 5min. to CS,1343018,Melle,,Oud-Noord,52.38493,4.91443,Entire home/apt,120,2,1,2020-03-01,0.04,1,0,0,0363 F2C5 18DD B77C A1C9
40273013,Amazing and modern city centre apartment,99194923,Cara,,Oostelijk Havengebied - Indische Buurt,52.37462,4.93523,Entire home/apt,189,3,13,2021-08-18,0.42,1,157,3,0363 6B3C 3B6C 2096 CBDB
40296030,Studio in City Centre w priv. bathroom  ♥,15518704,Jacques,,Centrum-Oost,52.36415,4.88719,Private room,150,29,2,2021-11-28,0.08,1,221,1,Exempt
40304099,Spacious and light family house in Amsterdam,7830953,Gerald,,Westerpark,52.38913,4.88172,Entire home/apt,600,5,1,2022-04-19,0.63,1,157,1,0363 8AA2 E037 E78C 28B7
40317269,Luxury Apartment in Amsterdam,187511488,Denise,,Watergraafsmeer,52.35497,4.92811,Entire home/apt,135,3,1,2020-02-14,0.04,1,109,0,0363 F74C BC19 4F58 5F7C
40335248,"Renovated apartment in city center,  contact-free!",52958217,Jeroen,,Oostelijk Havengebied - Indische Buurt,52.36311,4.93344,Entire home/apt,365,1,4,2021-03-17,0.14,2,135,0,0363 14E0 1237 795B A6EC
40335482,Canal Houseboat stay; brand new! Rembrandt Suite,808981,Susan,,Centrum-West,52.36983,4.88235,Private room,281,1,50,2022-05-25,1.66,3,268,3,0363 B6C0 C79B 8E40 932D
40344128,Room in renovated apartment in city center!,52958217,Jeroen,,Oostelijk Havengebied - Indische Buurt,52.36253,4.93362,Private room,102,1,23,2022-06-02,0.79,2,153,21,036314E01237795BA6EC
40362812,2BR (100sq) Modern Cottage 8min fr Central Station,2418177,Andrea,,Centrum-Oost,52.37321,4.90498,Entire home/apt,344,3,14,2022-05-17,0.47,1,54,9,0363253F2EC573564F60
40363985,Clean private studio/loft  Museumdistrict for 2 ❤,311996109,Tess And Jay,,De Pijp - Rivierenbuurt,52.3571,4.89136,Private room,125,2,29,2022-06-02,1.00,1,192,21,0363 0000 3104 8D0F A252
40367212,hotspot centrum Amsterdam queen apartment,312020333,Johnny,,Centrum-West,52.37597,4.89632,Entire home/apt,400,7,2,2021-06-24,0.07,4,223,1,03638F515F9D989485E7
